application_id,customer_id,application_date,assessment_date,approval_date,issue_date,product_type,requested_amount,requested_term_months,application_channel,status,rejection_reason
APP0003566,C004967,2021-01-01,2021-01-03,2021-01-05,2021-01-08,Consumer Loan,31100,7,Online,Approved,
APP0003894,C006502,2021-01-01,2021-01-04,,,Small Business Loan,678100,50,Branch,Rejected,High DTI
APP0005884,C010949,2021-01-01,2021-01-02,,,Auto Loan,768100,12,Mobile App,Rejected,High DTI
APP0006576,C009624,2021-01-01,2021-01-02,,,Auto Loan,556200,51,Mobile App,Rejected,High DTI
APP0008485,C001311,2021-01-01,2021-01-03,,,Small Business Loan,1409900,17,Branch,Rejected,High DTI
APP0009267,C010445,2021-01-01,2021-01-02,,,Auto Loan,1495900,43,Mobile App,Rejected,High DTI
APP0010148,C001270,2021-01-01,2021-01-02,,,Personal Loan,284800,29,Online,Cancelled,
APP0010212,C005394,2021-01-01,2021-01-02,,,Consumer Loan,115700,18,Branch,Rejected,High DTI
APP0011417,C010384,2021-01-01,2021-01-02,2021-01-05,2021-01-06,Personal Loan,94700,46,Agent,Approved,
APP0013972,C000825,2021-01-01,2021-01-04,,,Auto Loan,350500,39,Mobile App,Rejected,High DTI
APP0014215,C009779,2021-01-01,2021-01-04,,,Auto Loan,395500,39,Call Center,Rejected,Short Employment History
APP0017091,C002976,2021-01-01,2021-01-02,,,Personal Loan,277000,9,Branch,Rejected,High DTI
APP0017968,C007213,2021-01-01,2021-01-02,2021-01-05,2021-01-08,Personal Loan,52600,37,Mobile App,Approved,
APP0018181,C008046,2021-01-01,2021-01-02,,,Consumer Loan,66600,11,Branch,Rejected,High DTI
APP0020397,C008171,2021-01-01,2021-01-03,,,Consumer Loan,148300,12,Mobile App,Rejected,High DTI
APP0024012,C003407,2021-01-01,2021-01-02,,,Personal Loan,249700,29,Branch,Rejected,Low Credit Score
APP0025374,C007906,2021-01-01,2021-01-04,2021-01-05,2021-01-05,Personal Loan,29800,32,Call Center,Approved,
APP0025897,C000937,2021-01-01,2021-01-02,,,Personal Loan,189700,24,Branch,Rejected,High DTI
APP0030766,C009498,2021-01-01,2021-01-02,,,Personal Loan,213400,29,Mobile App,Rejected,Short Employment History
APP0032904,C003785,2021-01-01,2021-01-03,,,Personal Loan,182400,30,Online,Rejected,High DTI
APP0035619,C010749,2021-01-01,2021-01-04,2021-01-06,2021-01-08,Personal Loan,78800,46,Online,Approved,
APP0039503,C000816,2021-01-01,2021-01-04,,,Auto Loan,1187300,34,Online,Rejected,High DTI
APP0040983,C005755,2021-01-01,2021-01-03,,,Auto Loan,1162800,47,Branch,Rejected,High DTI
APP0043617,C001732,2021-01-01,2021-01-03,2021-01-05,2021-01-08,Small Business Loan,137200,26,Branch,Approved,
APP0043713,C005150,2021-01-01,2021-01-04,,,Personal Loan,132500,21,Mobile App,Rejected,High DTI
APP0044749,C002634,2021-01-01,2021-01-03,,,Personal Loan,298200,31,Branch,Rejected,High DTI
APP0045354,C002068,2021-01-01,2021-01-02,,,Auto Loan,336200,22,Mobile App,Rejected,High DTI
APP0046085,C009905,2021-01-01,2021-01-03,,,Small Business Loan,1792300,58,Mobile App,Rejected,High DTI
APP0046925,C000511,2021-01-01,2021-01-04,,,Consumer Loan,31600,25,Branch,Rejected,Incomplete Documentation
APP0048136,C008340,2021-01-01,2021-01-04,,,Auto Loan,1498300,23,Branch,Rejected,High DTI
APP0049559,C005768,2021-01-01,2021-01-04,2021-01-05,2021-01-08,Personal Loan,85600,30,Mobile App,Approved,
APP0050040,C009298,2021-01-01,2021-01-04,,,Consumer Loan,147100,12,Branch,Rejected,High DTI
APP0050267,C006755,2021-01-01,2021-01-02,,,Small Business Loan,107800,13,Mobile App,Rejected,High DTI
APP0050501,C009880,2021-01-01,2021-01-02,,,Small Business Loan,215100,49,Branch,Rejected,High DTI
APP0052272,C005962,2021-01-01,2021-01-04,,,Personal Loan,86900,7,Call Center,Rejected,High DTI
APP0052601,C004365,2021-01-01,2021-01-03,,,Small Business Loan,1116500,13,Mobile App,Rejected,High DTI
APP0055983,C008888,2021-01-01,2021-01-03,2021-01-07,2021-01-09,Personal Loan,184400,30,Branch,Approved,
APP0056661,C003160,2021-01-01,2021-01-03,,,Personal Loan,171500,34,Branch,Rejected,High DTI
