collateral_id,loan_id,collateral_type,value_at_origination,valuation_date,current_estimated_value,collateral_status,repossession_date,liquidation_date,gross_sale_proceeds,liquidation_costs,net_recovery
COLL000001,L000001,Vehicle,522941.18,2021-01-05,522941.18,Pledged,,,,,
COLL000017,L000017,Vehicle,346125,2021-01-08,346125,Released,,,,,
COLL000020,L000020,Business Asset / Property,154157.3,2021-01-08,154157.3,Pledged,,,,,
COLL000027,L000027,Vehicle,279775.28,2021-01-09,279775.28,Released,,,,,
COLL000057,L000057,Vehicle,731818.18,2024-01-11,731818.18,Pledged,,,,,
COLL000069,L000069,Business Asset / Property,266216.22,2023-10-12,266216.22,Pledged,,,,,
COLL000087,L000087,Business Asset / Property,82666.67,2021-01-14,82666.67,Pledged,,,,,
COLL000107,L000107,Vehicle,554352.94,2021-01-15,471200,Liquidated,2021-03-28,2021-04-19,401076.73,21761.19,379315.54
COLL000114,L000114,Vehicle,245731.71,2021-07-16,245731.71,Released,,,,,
COLL000141,L000141,Vehicle,421851.85,2021-01-18,421851.85,Released,,,,,
COLL000148,L000148,Business Asset / Property,848400,2021-01-19,848400,Pledged,,,,,
COLL000151,L000151,Vehicle,404025.97,2021-01-20,404025.97,Pledged,,,,,
COLL000153,L000153,Vehicle,722816.9,2021-01-20,722816.9,Released,,,,,
COLL000184,L000184,Vehicle,179195.4,2021-01-23,179195.4,Pledged,,,,,
COLL000186,L000186,Business Asset / Property,265324.68,2021-01-23,265324.68,Pledged,,,,,
COLL000215,L000215,Business Asset / Property,389655.17,2021-06-26,331206.89,Liquidated,2022-03-13,2022-04-01,251394.35,8901.21,242493.14
COLL000217,L000217,Vehicle,636097.56,2021-01-26,636097.56,Pledged,,,,,
COLL000242,L000242,Business Asset / Property,277555.56,2021-01-28,277555.56,Pledged,,,,,
COLL000255,L000255,Business Asset / Property,65172.41,2021-01-28,65172.41,Pledged,,,,,
COLL000312,L000312,Business Asset / Property,568082.19,2021-02-02,568082.19,Pledged,,,,,
COLL000317,L000317,Business Asset / Property,1339870.13,2021-02-03,1138889.61,Liquidated,2023-06-13,2023-06-28,985285.51,62775.41,922510.1
COLL000380,L000380,Business Asset / Property,211325.3,2021-02-08,211325.3,Released,,,,,
COLL000413,L000413,Vehicle,415555.56,2021-02-11,415555.56,Pledged,,,,,
COLL000445,L000445,Business Asset / Property,99647.06,2021-02-14,99647.06,Pledged,,,,,
COLL000477,L000477,Vehicle,271529.41,2021-10-16,271529.41,Pledged,,,,,
COLL000492,L000492,Business Asset / Property,93522.73,2021-02-18,93522.73,Pledged,,,,,
COLL000497,L000497,Vehicle,340246.91,2021-02-18,340246.91,Pledged,,,,,
COLL000502,L000502,Business Asset / Property,89014.08,2021-04-18,89014.08,Pledged,,,,,
COLL000503,L000503,Business Asset / Property,125492.96,2025-11-18,125492.96,Released,,,,,
COLL000514,L000514,Vehicle,461285.71,2021-02-19,461285.71,Released,,,,,
COLL000517,L000517,Vehicle,235632.18,2021-02-20,200287.35,Liquidated,2022-01-09,2022-02-16,191433.17,11050.81,180382.36
COLL000518,L000518,Business Asset / Property,179027.78,2021-02-20,179027.78,Pledged,,,,,
COLL000542,L000542,Vehicle,434533.33,2021-02-23,434533.33,Released,,,,,
COLL000562,L000562,Business Asset / Property,298000,2021-02-25,253300,Liquidated,2021-06-09,2021-06-24,171314.83,7038.86,164275.97
COLL000577,L000577,Vehicle,202400,2021-02-26,202400,Pledged,,,,,
COLL000590,L000590,Business Asset / Property,139428.57,2021-02-28,139428.57,Pledged,,,,,
COLL000612,L000612,Vehicle,534375,2023-05-02,534375,Pledged,,,,,
COLL000616,L000616,Business Asset / Property,164189.19,2021-03-03,164189.19,Pledged,,,,,
COLL000631,L000631,Business Asset / Property,693500,2021-03-04,589475,Liquidated,2021-12-16,2022-01-06,509036.01,29683.99,479352.02
COLL000647,L000647,Vehicle,361647.06,2021-03-06,361647.06,Released,,,,,
COLL000668,L000668,Vehicle,378974.36,2021-03-07,378974.36,Pledged,,,,,
COLL000696,L000696,Business Asset / Property,723953.49,2021-03-09,723953.49,Released,,,,,
COLL000699,L000699,Vehicle,340821.92,2021-03-09,340821.92,Pledged,,,,,
COLL000710,L000710,Business Asset / Property,219743.59,2021-03-10,219743.59,Pledged,,,,,
COLL000740,L000740,Business Asset / Property,152073.17,2021-03-13,152073.17,Pledged,,,,,
COLL000742,L000742,Vehicle,258202.25,2021-03-13,258202.25,Pledged,,,,,
COLL000784,L000784,Vehicle,452535.21,2021-03-17,452535.21,Pledged,,,,,
COLL000799,L000799,Business Asset / Property,143855.42,2022-06-18,143855.42,Pledged,,,,,
COLL000809,L000809,Business Asset / Property,120277.78,2021-03-19,120277.78,Pledged,,,,,
COLL000829,L000829,Business Asset / Property,571690.14,2021-03-21,571690.14,Pledged,,,,,
COLL000831,L000831,Business Asset / Property,93139.53,2021-03-21,93139.53,Pledged,,,,,
COLL000883,L000883,Business Asset / Property,259156.63,2021-03-26,220283.14,Liquidated,2021-08-01,2021-09-03,187871.25,9809.12,178062.13
COLL000884,L000884,Vehicle,377228.92,2021-03-26,377228.92,Pledged,,,,,
