collection_id,loan_id,collection_date,collection_stage,action_type,contact_attempt_number,collection_status,promise_to_pay_flag,promise_amount,promise_date
COL000001001,L000001,2021-06-15,Legal,Legal Action,1,Contacted,FALSE,,
COL000001002,L000001,2021-10-16,Early,SMS,2,Escalated,FALSE,,
COL000002001,L000002,2021-03-17,Early,SMS,1,Escalated,FALSE,,
COL000002002,L000002,2022-03-14,Early,SMS,2,No Response,FALSE,,
COL000002003,L000002,2022-11-14,Early,SMS,3,Contacted,FALSE,,
COL000002004,L000002,2023-09-13,Early,SMS,4,Promise Made,FALSE,,
COL000003001,L000003,2021-02-12,Legal,Legal Action,1,Promise Made,TRUE,6959.91,2021-02-26
COL000004001,L000004,2022-04-15,Early,SMS,1,Promise Made,TRUE,6626.08,2022-04-30
COL000005001,L000005,2021-02-26,Mid,Phone Call,1,No Response,TRUE,3321.53,2021-03-05
COL000005002,L000005,2021-03-14,Early,SMS,2,No Response,FALSE,,
COL000005003,L000005,2021-06-13,Early,SMS,3,Promise Made,FALSE,,
COL000005004,L000005,2021-08-21,Legal,Legal Action,4,Contacted,FALSE,,
COL000006001,L000006,2021-02-20,Early,SMS,1,Contacted,FALSE,,
COL000006002,L000006,2021-05-24,Mid,Phone Call,2,No Response,FALSE,,
COL000006003,L000006,2021-07-14,Legal,Legal Action,3,Promise Made,FALSE,,
COL000006004,L000006,2021-08-26,Early,SMS,4,Escalated,FALSE,,
COL000006005,L000006,2021-09-14,Mid,Phone Call,5,Promise Made,FALSE,,
COL000006006,L000006,2021-10-21,Early,SMS,6,Escalated,TRUE,4448.75,2021-11-03
COL000006007,L000006,2021-11-24,Early,SMS,7,Escalated,FALSE,,
COL000006008,L000006,2022-07-15,Mid,Phone Call,8,Escalated,TRUE,4448.75,2022-08-04
COL000006009,L000006,2022-08-25,Mid,Phone Call,9,Contacted,TRUE,4448.75,2022-09-05
COL000006010,L000006,2022-09-24,Early,SMS,10,Promise Made,FALSE,,
COL000006011,L000006,2022-11-24,Early,SMS,11,Contacted,TRUE,4448.75,2022-11-27
COL000006012,L000006,2022-12-14,Early,SMS,12,Promise Made,FALSE,,
COL000006013,L000006,2023-01-19,Early,SMS,13,Escalated,FALSE,,
COL000006014,L000006,2023-06-17,Mid,Phone Call,14,Contacted,TRUE,4448.75,2023-06-28
COL000006015,L000006,2023-07-14,Early,SMS,15,No Response,FALSE,,
COL000006016,L000006,2023-08-25,Mid,Phone Call,16,Escalated,FALSE,,
COL000006017,L000006,2023-11-12,Mid,Phone Call,17,Contacted,FALSE,,
COL000006018,L000006,2024-01-21,Early,SMS,18,Contacted,TRUE,4448.75,2024-02-04
COL000006019,L000006,2024-02-13,Early,SMS,19,No Response,FALSE,,
COL000006020,L000006,2024-03-22,Early,SMS,20,Escalated,TRUE,4448.75,2024-03-29
COL000006021,L000006,2024-05-17,Early,SMS,21,Promise Made,TRUE,4448.75,2024-05-30
COL000007001,L000007,2021-03-16,Early,SMS,1,Contacted,TRUE,3806.83,2021-04-04
COL000007002,L000007,2021-05-22,Mid,Phone Call,2,Escalated,FALSE,,
COL000007003,L000007,2021-06-15,Early,SMS,3,Promise Made,FALSE,,
COL000007004,L000007,2021-07-16,Early,SMS,4,Contacted,FALSE,,
COL000007005,L000007,2021-08-13,Early,SMS,5,Contacted,FALSE,,
COL000007006,L000007,2021-10-18,Early,SMS,6,Contacted,TRUE,3806.83,2021-10-28
COL000007007,L000007,2021-12-13,Legal,Legal Action,7,Contacted,FALSE,,
COL000008001,L000008,2023-07-13,Early,SMS,1,Contacted,TRUE,5557.12,2023-07-31
COL000008002,L000008,2024-05-23,Early,SMS,2,No Response,FALSE,,
COL000008003,L000008,2024-06-21,Early,SMS,3,Contacted,FALSE,,
COL000009001,L000009,2022-06-15,Early,SMS,1,Contacted,FALSE,,
COL000010001,L000010,2021-06-19,Early,SMS,1,Contacted,FALSE,,
COL000010002,L000010,2023-07-25,Early,SMS,2,Promise Made,TRUE,4001.57,2023-07-29
COL000010003,L000010,2023-11-14,Early,SMS,3,Promise Made,TRUE,4001.57,2023-11-28
COL000011001,L000011,2021-02-22,Mid,Phone Call,1,Promise Made,FALSE,,
COL000011002,L000011,2021-07-13,Early,SMS,2,Escalated,FALSE,,
COL000011003,L000011,2021-09-22,Early,SMS,3,Promise Made,FALSE,,
COL000011004,L000011,2021-10-19,Early,SMS,4,Promise Made,FALSE,,
COL000012001,L000012,2021-03-21,Early,SMS,1,Escalated,FALSE,,
COL000013001,L000013,2021-02-14,Early,SMS,1,Promise Made,FALSE,,
COL000013002,L000013,2021-06-17,Mid,Phone Call,2,Escalated,TRUE,4899.82,2021-07-06
COL000013003,L000013,2021-07-18,Mid,Phone Call,3,Escalated,FALSE,,
COL000013004,L000013,2021-08-27,Early,SMS,4,Escalated,TRUE,4899.79,2021-09-07
COL000014001,L000014,2021-03-27,Mid,Phone Call,1,Escalated,FALSE,,
COL000014002,L000014,2021-04-20,Legal,Legal Action,2,Promise Made,TRUE,4552.47,2021-05-02
COL000014003,L000014,2022-05-22,Legal,Legal Action,1,Promise Made,FALSE,,
COL000014004,L000014,2024-02-24,Early,SMS,2,No Response,FALSE,,
COL000015001,L000015,2023-08-28,Early,SMS,1,Promise Made,FALSE,,
COL000015002,L000015,2023-09-14,Early,SMS,2,No Response,TRUE,740.02,2023-10-03
COL000016001,L000016,2022-08-26,Early,SMS,1,Escalated,FALSE,,
COL000016002,L000016,2022-10-16,Early,SMS,2,Promise Made,TRUE,2196.15,2022-10-29
COL000016003,L000016,2023-04-27,Early,SMS,3,Escalated,FALSE,,
COL000017001,L000017,2021-05-22,Early,SMS,1,Contacted,FALSE,,
COL000017002,L000017,2021-08-21,Early,SMS,2,Contacted,FALSE,,
COL000017003,L000017,2022-05-22,Legal,Legal Action,3,Promise Made,FALSE,,
COL000018001,L000018,2021-08-17,Mid,Phone Call,1,Promise Made,TRUE,2920.13,2021-08-30
COL000018002,L000018,2021-12-25,Mid,Phone Call,2,Promise Made,TRUE,2920.13,2022-01-03
COL000018003,L000018,2022-06-18,Early,SMS,3,No Response,TRUE,2920.13,2022-07-04
COL000018004,L000018,2022-07-15,Mid,Phone Call,4,Contacted,FALSE,,
COL000018005,L000018,2022-10-18,Early,SMS,5,Contacted,TRUE,2920.13,2022-10-29
COL000018006,L000018,2022-12-14,Early,SMS,6,Promise Made,FALSE,,
COL000018007,L000018,2023-01-16,Legal,Legal Action,7,Escalated,FALSE,,
COL000020001,L000020,2021-08-23,Early,SMS,1,Promise Made,FALSE,,
COL000020002,L000020,2021-09-23,Early,SMS,2,Contacted,FALSE,,
