customer_id,age,gender,governorate,city,employment_type,job,employment_length_months,monthly_income,home_ownership,customer_segment,credit_score
C000001,38,Male,Cairo,Zamalek,Private Sector,Accountant,65,17022.99,Owned,Mass,573
C000002,35,Female,Sharqia,10th of Ramadan,Self-Employed,Contractor,117,71576.82,Owned,Mass,806
C000003,27,Female,Alexandria,Miami,Government,Public Health Worker,48,14722.93,Owned,Mass,530
C000004,23,Male,Cairo,Heliopolis,Private Sector,Accountant,45,33282.16,Family-Owned,Mass Affluent,527
C000005,63,Male,Alexandria,Smouha,Private Sector,Engineer,139,48067.87,Owned,Mass,798
C000006,35,Female,Qalyubia,Shubra El-Kheima,Private Sector,Accountant,11,51074.47,Owned,Mass,665
C000007,36,Male,Giza,Mohandessin,Government,Civil Servant,193,12950.42,Rented,Mass,538
C000008,64,Male,Cairo,New Cairo,Government,Civil Servant,219,13249.82,Rented,Mass,646
C000009,38,Female,Suez,Suez City,Private Sector,Bank Employee,199,34115.98,Rented,Mass Affluent,633
C000010,30,Female,Cairo,Heliopolis,Self-Employed,Doctor,98,37591.86,Family-Owned,Mass,624
C000011,36,Female,Dakahlia,Mansoura,Self-Employed,Lawyer,17,43585.44,Owned,Mass,563
C000012,65,Male,Minya,Minya City,Business Owner,Restaurant Owner,105,59508.8,Owned,SME Owner,619
C000013,58,Male,Cairo,Nasr City,Government,Teacher,286,15236.53,Rented,Mass,669
C000014,57,Male,Sharqia,10th of Ramadan,Private Sector,Bank Employee,245,22392.68,Family-Owned,Mass,707
C000015,24,Female,Alexandria,Smouha,Private Sector,Accountant,54,46782.8,Family-Owned,Mass,672
C000016,24,Male,Cairo,Zamalek,Self-Employed,Freelance Consultant,72,32265.36,Family-Owned,Mass Affluent,736
C000017,45,Male,Sharqia,10th of Ramadan,Government,Teacher,138,9014.54,Owned,Mass,675
C000018,24,Male,Cairo,Maadi,Self-Employed,Freelance Consultant,64,49433,Owned,Mass,628
C000019,36,Female,Alexandria,Miami,Private Sector,Bank Employee,151,32986.58,Owned,Mass Affluent,662
C000020,21,Male,Alexandria,Smouha,Private Sector,Accountant,32,44271.34,Rented,Mass Affluent,714
C000021,49,Male,Giza,Dokki,Private Sector,Engineer,281,54988.67,Rented,Mass,761
C000022,42,Female,Minya,Minya City,Government,Civil Servant,107,15200.31,Owned,Mass,665
C000023,29,Male,Cairo,Maadi,Government,Police Officer,70,7968.18,Family-Owned,Mass Affluent,529
C000024,23,Male,Alexandria,Miami,Government,Police Officer,60,10170.42,Rented,Mass Affluent,559
C000025,47,Female,Sharqia,Zagazig,Self-Employed,Doctor,15,16005.17,Owned,Mass Affluent,627
C000026,43,Female,Giza,6th of October,Government,Public Health Worker,159,19740.41,Rented,Affluent,783
C000027,46,Male,Cairo,New Cairo,Private Sector,Bank Employee,277,21708.87,Family-Owned,Mass Affluent,583
C000028,33,Female,Sharqia,Zagazig,Private Sector,Bank Employee,68,12224.06,Family-Owned,Mass,623
C000029,40,Female,Cairo,Zamalek,Private Sector,Accountant,262,24674.46,Family-Owned,Mass,626
C000030,40,Male,Alexandria,Sidi Gaber,Private Sector,Accountant,149,17794.16,Owned,Mass,563
C000031,53,Male,Sharqia,Zagazig,Private Sector,Sales Representative,342,23839.22,Rented,Mass,788
