loan_id,application_id,customer_id,product_type,funded_amount,term_months,interest_rate,issue_date,maturity_date,purpose,risk_grade,original_dti,original_term_months,original_installment,secured,collateral_value,collateral_type,current_status,default_flag,default_date,write_off_flag,write_off_date,write_off_amount,restructuring_flag,restructuring_date,restructuring_count,settlement_flag,settlement_date,settlement_amount,settlement_discount,current_term_months,current_installment,total_fee_income
L000001,APP0017271,C003755,Auto Loan,444500,43,0.2424,2021-01-05,2024-08-05,Used Vehicle Purchase,B,0.5,43,15566.37,TRUE,522941.18,Vehicle,Delinquent,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,43,15566.37,311.33
L000002,APP0025374,C007906,Personal Loan,29800,32,0.2844,2021-01-05,2023-09-05,Education,B,0.43,32,1339.08,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,32,1339.08,107.12
L000003,APP0032095,C009507,Personal Loan,143200,28,0.2715,2021-01-05,2023-05-05,Medical,B,0.44,28,6959.91,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-02-20,124257.1,0.13,28,6959.91,0
L000004,APP0060553,C006222,Consumer Loan,135400,30,0.3217,2021-01-05,2023-07-05,Furniture,A,0.11,30,6626.08,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,30,6626.08,132.52
L000005,APP0011417,C010384,Personal Loan,94700,46,0.2692,2021-01-06,2024-11-06,Home Improvement,B,0.05,46,3321.53,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-08-21,72771.9,0.16,46,3321.53,199.29
L000006,APP0025274,C008376,Personal Loan,116000,42,0.2933,2021-01-06,2024-07-06,Education,B,0.3,42,4448.75,FALSE,,,Delinquent,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,42,4448.75,1779.6
L000007,APP0039390,C010903,Consumer Loan,83700,33,0.3115,2021-01-06,2023-10-06,Electronics,B,0.39,33,3806.83,FALSE,,,Settled,FALSE,,FALSE,,,FALSE,,0,TRUE,2021-12-21,58463.5,0.1,33,3806.83,456.84
L000008,APP0012329,C003580,Personal Loan,151800,46,0.2962,2021-01-07,2024-11-07,General Purpose,A,0.15,46,5557.12,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,46,5557.12,333.42
L000009,APP0049671,C005186,Consumer Loan,74000,20,0.2789,2021-01-07,2022-09-07,Appliances,A,0.32,20,4668.4,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,20,4668.4,93.37
L000010,APP0070547,C003242,Personal Loan,96000,36,0.2859,2021-01-07,2024-01-07,General Purpose,B,0.29,36,4001.57,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,36,4001.57,240.09
L000011,APP0077492,C006158,Consumer Loan,42300,9,0.313,2021-01-07,2021-10-07,Appliances,B,0.46,9,5333.98,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,9,5333.98,426.72
L000012,APP0001617,C002031,Personal Loan,154500,15,0.279,2021-01-08,2022-04-08,General Purpose,B,0.46,15,12318.34,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,15,12318.34,246.37
L000013,APP0003566,C004967,Consumer Loan,31100,7,0.3011,2021-01-08,2021-08-08,Electronics,C,0.37,7,4899.82,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,7,4899.82,392
L000014,APP0003856,C002871,Consumer Loan,103000,33,0.2877,2021-01-08,2023-10-08,Electronics,B,0.16,33,4552.47,FALSE,,,Delinquent,FALSE,,FALSE,,,TRUE,2021-04-18,1,FALSE,,,,40,3967.03,170.39
L000015,APP0016392,C006289,Consumer Loan,17600,34,0.2634,2021-01-08,2023-11-08,Furniture,A,0.11,34,740.02,FALSE,,,Closed - Fully Paid,FALSE,,FALSE,,,FALSE,,0,FALSE,,,,34,740.02,29.6
