recovery_id,loan_id,recovery_date,recovery_source,gross_recovery_amount,principal_recovery,interest_recovery,fee_recovery,source_reference
REC000003001,L000003,2021-02-20,Settlement,124257.1,124257.1,0,0,SETTLE-000003
REC000005001,L000005,2021-08-21,Settlement,72771.9,72771.9,0,0,SETTLE-000005
REC000007001,L000007,2021-12-21,Settlement,58463.5,58463.5,0,0,SETTLE-000007
REC000017001,L000017,2022-05-23,Settlement,189407.14,189407.14,0,0,SETTLE-000017
REC000018001,L000018,2023-01-23,Settlement,37756.64,37756.64,0,0,SETTLE-000018
REC000024001,L000024,2021-12-23,Settlement,68411.6,68411.6,0,0,SETTLE-000024
REC000027001,L000027,2021-04-24,Settlement,210909.91,210909.91,0,0,SETTLE-000027
REC000063001,L000063,2021-08-26,Settlement,15105.46,15105.46,0,0,SETTLE-000063
REC000072001,L000072,2023-08-20,Legal Recovery,2524.06,2524.06,0,0,LEGAL-000072
REC000077001,L000077,2022-01-28,Settlement,51960.99,51960.99,0,0,SETTLE-000077
REC000080001,L000080,2021-02-28,Settlement,43668.65,43668.65,0,0,SETTLE-000080
REC000083001,L000083,2021-08-28,Settlement,45173.54,45173.54,0,0,SETTLE-000083
REC000092001,L000092,2021-05-29,Settlement,87563.21,87563.21,0,0,SETTLE-000092
REC000107001,L000107,2021-04-19,Collateral Liquidation,379315.54,379315.54,0,0,COLL000107
REC000107002,L000107,2021-06-22,Legal Recovery,76571.12,76571.12,0,0,LEGAL-000107
REC000112001,L000112,2022-05-31,Settlement,73700.21,73700.21,0,0,SETTLE-000112
REC000113001,L000113,2024-07-01,Settlement,63657.18,63657.18,0,0,SETTLE-000113
REC000114001,L000114,2021-10-01,Settlement,96217.85,96217.85,0,0,SETTLE-000114
REC000116001,L000116,2021-03-31,Settlement,132144.23,132144.23,0,0,SETTLE-000116
REC000121001,L000121,2022-08-31,Settlement,47149.57,47149.57,0,0,SETTLE-000121
REC000130001,L000130,2021-06-01,Settlement,58718.61,58718.61,0,0,SETTLE-000130
REC000141001,L000141,2024-03-04,Settlement,20143.39,20143.39,0,0,SETTLE-000141
REC000153001,L000153,2022-05-05,Settlement,359592.41,359592.41,0,0,SETTLE-000153
REC000155001,L000155,2023-01-04,Settlement,4706.03,4706.03,0,0,SETTLE-000155
REC000158001,L000158,2022-04-04,Settlement,71216.19,71216.19,0,0,SETTLE-000158
REC000167001,L000167,2022-04-05,Settlement,8327.41,8327.41,0,0,SETTLE-000167
REC000182001,L000182,2022-07-08,Settlement,37628.58,37628.58,0,0,SETTLE-000182
REC000194001,L000194,2022-03-11,Settlement,25582.88,25582.88,0,0,SETTLE-000194
REC000196001,L000196,2022-05-09,Settlement,11570.33,11570.33,0,0,SETTLE-000196
REC000206001,L000206,2022-05-10,Settlement,18520.52,18520.52,0,0,SETTLE-000206
REC000207001,L000207,2021-05-10,Settlement,115332.65,115332.65,0,0,SETTLE-000207
REC000208001,L000208,2021-03-12,Settlement,104540.82,104540.82,0,0,SETTLE-000208
