application_id,customer_id,assessment_date,monthly_income_at_assessment,existing_monthly_obligations,proposed_installment_est,dti,credit_score_at_assessment,employment_length_at_assessment,ltv,risk_grade,risk_points,previous_default_flag
APP0000001,C010827,2025-04-17,37098.67,0,24671.23,0.67,561,40,0.75,C,8,FALSE
APP0000002,C000060,2025-06-26,28108.87,0,4552.43,0.16,504,250,,B,3,FALSE
APP0000003,C008947,2022-03-07,61181.27,0,623.32,0.01,671,88,,A,1,FALSE
APP0000004,C000010,2023-04-28,37591.86,0,13914.39,0.37,624,98,,B,5,FALSE
APP0000005,C002176,2022-12-20,70395.77,0,1685.49,0.02,730,9,,B,3,FALSE
APP0000006,C008105,2023-11-20,41962.03,0,1561.63,0.04,632,125,,A,2,FALSE
APP0000007,C006096,2021-10-11,14196.84,0,1533.42,0.11,590,257,,B,3,FALSE
APP0000008,C000074,2021-06-22,28811.19,0,4155.91,0.14,561,6,,C,6,FALSE
APP0000009,C002517,2021-09-29,8763.39,0,5764.12,0.66,587,24,,C,8,FALSE
APP0000010,C000293,2024-04-01,40806.65,0,4124.06,0.1,578,15,,B,4,FALSE
APP0000011,C006181,2024-01-23,33115.86,0,12673.63,0.38,603,248,,B,5,FALSE
APP0000012,C005511,2024-12-25,29157.73,0,5207.13,0.18,691,96,,A,2,FALSE
APP0000013,C002855,2024-11-23,33153.59,0,4429.53,0.13,698,330,,A,1,FALSE
APP0000014,C006522,2025-09-02,34876.64,0,23513.23,0.67,679,190,,B,3,FALSE
APP0000015,C000085,2023-07-03,15023.81,0,13286.1,0.88,557,3,,D,10,FALSE
APP0000016,C007887,2023-12-12,29168.81,0,4046.49,0.14,624,11,,B,5,FALSE
APP0000017,C002661,2022-12-21,22840.77,0,4276.55,0.19,534,364,,B,3,FALSE
APP0000018,C005911,2023-01-29,14745.64,0,5723.43,0.39,570,82,,C,7,FALSE
APP0000019,C008043,2025-10-19,23078.23,0,3692.19,0.16,659,22,,B,4,FALSE
APP0000020,C007427,2025-05-10,15725.31,0,33412.3,2.12,585,107,0.77,C,6,FALSE
APP0000021,C008992,2021-08-30,20042.18,0,8337.15,0.42,583,185,,B,4,FALSE
APP0000022,C007168,2025-12-21,17698.06,0,16780.7,0.95,659,13,0.79,C,7,FALSE
APP0000023,C002575,2021-04-10,51627.81,0,8378.59,0.16,634,184,,A,1,FALSE
APP0000024,C001118,2024-07-24,8184.5,0,7435.37,0.91,441,38,,D,11,FALSE
APP0000025,C010307,2022-08-05,15751.79,0,30916.24,1.96,511,28,0.77,C,7,FALSE
APP0000026,C009772,2024-02-09,95755.42,0,5858.14,0.06,597,85,,A,2,FALSE
APP0000027,C003840,2023-10-14,10356.47,0,1609.3,0.16,632,27,,B,4,FALSE
APP0000028,C001863,2024-02-06,14678.85,0,41080.66,2.8,676,151,0.78,C,6,FALSE
APP0000029,C008252,2022-05-25,9001.62,0,19437.37,2.16,600,95,,C,7,FALSE
